cpuName,cpuMark,cores
Intel Pentium E6700 @ 3.20GHz,1152,2
AMD Phenom II X2 B55,1151,2
AMD Phenom 8850 Triple-Core,1142,3
Intel Core2 Duo E6850 @ 3.00GHz,1140,2
Intel Pentium G640T @ 2.40GHz,1139,2
Intel Celeron J1900 @ 1.99GHz,1137,4
AMD Phenom 8450e Triple-Core,1134,3
AMD Phenom II X2 B53,1126,2
Intel Celeron G1820TE @ 2.20GHz,1115,2
AMD Phenom 8250 Triple-Core,1114,3
AMD Athlon II X2 260,1113,2
Intel Celeron G540 @ 2.50GHz,1110,2
AMD Phenom II X2 545,1107,2
AMD Athlon II X2 210e,1105,2
Intel Celeron G550T @ 2.20GHz,1102,2
Intel Celeron G530 @ 2.40GHz,1096,2
AMD A4-3420 APU,1094,2
Intel Core2 Duo E7500 @ 2.93GHz,1090,2
Intel Celeron G1101 @ 2.27GHz,1086,2
AMD Phenom 8250e Triple-Core,1084,3
AMD Athlon II X2 250,1083,2
AMD Phenom 8400 Triple-Core,1079,3
AMD Athlon II X2 245e,1075,2
AMD Athlon II X2 B24,1073,2
Intel Pentium E6500 @ 2.93GHz,1073,2
Intel Pentium E6600 @ 3.06GHz,1072,2
AMD A4-3400 APU,1066,2
Intel Core2 Duo E8200 @ 2.66GHz,1064,2
Intel Pentium G6950 @ 2.80GHz,1061,2
Intel Celeron G530T @ 2.00GHz,1056,2
AMD Athlon II X2 235e,1049,2
Intel Atom E3845 @ 1.91GHz,1038,4
AMD Athlon 7850 Dual-Core,1037,2
AMD Athlon II X2 B22,1036,2
Intel Core2 Duo E8300 @ 2.83GHz,1034,2
Intel Pentium G630T @ 2.30GHz,1029,2
AMD Athlon II X2 220,1024,2
AMD Athlon II X2 245,1022,2
Intel Pentium E5700 @ 3.00GHz,1017,2
Intel Pentium J2850 @ 2.41GHz,1016,4
Intel Core2 Duo E6700 @ 2.66GHz,1012,2
Intel Core2 Duo E6750 @ 2.66GHz,1010,2
Intel Pentium E5500 @ 2.80GHz,1010,2
Intel Core i3-3229Y @ 1.40GHz,1004,2
Intel Pentium E6300 @ 2.80GHz,1000,2
Intel Pentium Extreme Edition 965 @ 3.73GHz,987,2
AMD Athlon II X2 240e,980,2
Intel Core2 Duo E7400 @ 2.80GHz,980,2
AMD Phenom X3 8550,976,3
AMD Athlon 64 FX-74,972,2
AMD A4-3300 APU,971,2
AMD Athlon 64 X2 Dual Core 6400+,967,2
Intel Core2 Duo E7300 @ 2.66GHz,964,2
AMD Athlon II X2 215,959,2
AMD E2-3200 APU,953,2
AMD Athlon 7750 Dual-Core,951,2
Intel Core2 Duo E7200 @ 2.53GHz,947,2
AMD Athlon 64 FX-62 Dual Core,943,2
Intel Celeron J1850 @ 1.99GHz,942,4
Intel Pentium E5400 @ 2.70GHz,936,2
AMD Athlon II X2 240,935,2
Intel Celeron E3500 @ 2.70GHz,935,2
AMD Sempron X2 198 Dual-Core,930,2
AMD Athlon 64 X2 Dual Core 5600+,923,2
AMD Athlon 64 X2 Dual Core 6000+,919,2
AMD Athlon 64 X2 Dual Core 5400+,910,2
Intel Pentium E5300 @ 2.60GHz,906,2
Intel Core2 Duo E6600 @ 2.40GHz,901,2
Intel Pentium G620T @ 2.20GHz,896,2
Athlon 64 Dual Core 5600+,875,2
Intel Core2 Duo E6550 @ 2.33GHz,875,2
AMD Athlon 5200 Dual-Core,869,2
AMD Athlon II X2 4450e,867,2
Intel Pentium E5200 @ 2.50GHz,867,2
Intel Celeron E3200 @ 2.40GHz,860,2
AMD Athlon 7550 Dual-Core,859,2
Athlon 64 Dual Core 5000+,850,2
Intel Celeron E3300 @ 2.50GHz,837,2
AMD Athlon Dual Core 5000B,835,2
AMD Athlon 5000 Dual-Core,835,2
Intel Core2 Duo E4600 @ 2.40GHz,829,2
Intel Celeron E3400 @ 2.60GHz,829,2
AMD Athlon Dual Core 5400B,826,2
Intel Core2 Extreme X6800 @ 2.93GHz,823,2
AMD Athlon 64 X2 Dual Core 5200+,812,2
Intel Core2 Duo E4700 @ 2.60GHz,811,2
Intel Core2 Duo E6540 @ 2.33GHz,808,2
AMD Athlon64 X2 Dual Core 4600+,803,2
AMD Athlon 64 X2 Dual Core 5800+,797,2
AMD Athlon Dual Core 5200B,796,2
Intel Pentium E2220 @ 2.40GHz,793,2
AMD Athlon 7450 Dual-Core,789,2
Intel Core2 Duo E6400 @ 2.13GHz,772,2
Athlon Dual Core 4850e,769,2
AMD Athlon 64 X2 Dual Core 5000+,760,2
Intel Pentium E2200 @ 2.20GHz,752,2
AMD Athlon Dual Core 5050e,748,2
Intel Celeron 1047UE @ 1.40GHz,748,2
Intel Pentium D 960 @ 3.60GHz,743,2
AMD Athlon Dual Core 5600B,737,2
AMD Athlon Dual Core 4850e,735,2
AMD Athlon Dual Core 4850B,727,2
AMD Athlon 64 X2 Dual Core 4800+,722,2
Intel Core2 Duo E4500 @ 2.20GHz,718,2
AMD Athlon 64 X2 Dual Core 4600+,716,2
Intel Core2 Duo E6420 @ 2.13GHz,714,2
Intel Celeron E1600 @ 2.40GHz,712,2
AMD Athlon 64 FX-60 Dual Core,709,2
Intel Pentium E2210 @ 2.20GHz,702,2
AMD Athlon Dual Core 4450e,698,2
AMD Athlon 64 X2 Dual Core 4400+,691,2
Intel Celeron G470 @ 2.00GHz,691,1
AMD Athlon X2 Dual Core BE-2400,688,2
AMD Athlon Dual Core 4450B,684,2
Athlon Dual Core 4450e,681,2
Intel Pentium D 950 @ 3.40GHz,679,2
AMD Athlon II X2 270u,675,2
AMD Athlon 64 X2 Dual Core 4200+,672,2
Intel Pentium E2180 @ 2.00GHz,671,2
Intel Celeron E1400 @ 2.00GHz,671,2
Athlon Dual Core 4050e,670,2
Intel Celeron J3060 @ 1.60GHz,668,2
VIA QuadCore U4650 @ 1.0+ GHz,666,4
AMD Athlon II X2 260u,663,2
AMD Athlon 64 X2 Dual Core 4000+,661,2
Intel Celeron E1500 @ 2.20GHz,649,2
Intel Pentium E2160 @ 1.80GHz,636,2
Intel Core2 Duo E4400 @ 2.00GHz,632,2
AMD Athlon Dual Core 4050e,616,2
AMD Athlon 64 X2 Dual Core 3800+,611,2
AMD Athlon II X2 250u,604,2
Intel Core2 Duo E6320 @ 1.86GHz,597,2
AMD Athlon 64 X2 Dual Core 3600+,596,2
Intel Celeron J1750 @ 2.41GHz,595,2
AMD Athlon 64 X2 Dual Core BE-2300,594,2
Intel Core2 Duo E6300 @ 1.86GHz,592,2
AMD Athlon X2 Dual Core BE-2350,591,2
Intel Celeron J1800 @ 2.41GHz,581,2
Intel Celeron 1019Y @ 1.00GHz,576,2
AMD Athlon 64 X2 Dual Core BE-2350,573,2
AMD Athlon X2 Dual Core BE-2300,570,2
AMD Athlon 64 X2 3800+,566,2
AMD Sempron 2650 APU,561,2
Intel Core2 Duo E4300 @ 1.80GHz,561,2
Intel Pentium E2140 @ 1.60GHz,549,2
AMD Athlon 64 X2 Dual Core 3400+,531,2
AMD Athlon 64 FX-57,517,1
AMD Sempron 145,505,1
AMD Sempron 150,498,1
Intel Pentium D 940 @ 3.20GHz,498,2
Intel Celeron G460 @ 1.80GHz,494,1
Intel Pentium D 830 @ 3.00GHz,494,2
Intel Atom D2700 @ 2.13GHz,492,2
Intel Celeron E1200 @ 1.60GHz,492,2
AMD Athlon 64 3100+,484,1
Intel Celeron G465 @ 1.90GHz,480,1
AMD Sempron 140,471,1
Intel Pentium Extreme Edition 955 @ 3.46GHz,469,2
Intel Celeron 450 @ 2.20GHz,445,1
AMD E2-1800 APU,442,2
Intel Atom D2560 @ 2.00GHz,433,2
AMD Athlon LE-1640,430,1
Intel Celeron G440 @ 1.60GHz,426,1
Intel Pentium D 915 @ 2.80GHz,423,2
AMD Athlon LE-1620,421,1
AMD Athlon LE-1660,416,1
AMD Athlon LE-1600,412,1
AMD Athlon 1640B,412,1
Intel Atom D2550 @ 1.86GHz,408,2
AMD Athlon 64 FX-55,404,1
Intel Atom D510 @ 1.66GHz,404,2
AMD Sempron LE-1300,400,1
Intel Atom D525 @ 1.80GHz,399,2
AMD Athlon 64 3700+,394,1
Intel Core Duo L2300 @ 1.50GHz,387,2
Intel Atom E3825 @ 1.33GHz,385,2
Intel Pentium 4 3.73GHz,385,1
Intel Pentium D 805 @ 2.66GHz,374,2
Intel Celeron D 360 @ 3.46GHz,372,1
Intel Atom 330 @ 1.60GHz,371,2
Intel Celeron 440 @ 2.00GHz,368,1
AMD Sempron 3600+,364,1
AMD Sempron 3800+,360,1
AMD Athlon II 160u,358,1
AMD Athlon II 170u,357,1
AMD Sempron LE-1200,349,1
AMD Athlon 2850e,333,1
Intel Pentium 4 3.20GHz,326,1
Intel Core Duo T2050 @ 1.60GHz,320,2
AMD Sempron 3300+,315,1
AMD Sempron LE-1100,315,1
Intel Pentium 4 3.60GHz,315,1
Intel Celeron D 420 @ 1.60GHz,313,1
Intel Pentium 4 3.00GHz,313,1
Intel Pentium 4 3.80GHz,313,1
AMD Athlon 64 3000+,303,1
AMD Sempron LE-1250,301,1
AMD Sempron 3100+,298,1
Intel Pentium 4 3.46GHz,295,1
Intel Celeron 430 @ 1.80GHz,293,1
Intel Pentium 4 3.40GHz,293,1
AMD Sempron 3400+,292,1
AMD Sempron 3200+,288,1
Intel Celeron D 352 @ 3.20GHz,283,1
Intel Atom D2500 @ 1.86GHz,275,2
AMD Athlon 2650e,274,1
AMD Sempron 3000+,268,1
AMD Athlon XP 3000+,262,1
AMD Sempron LE-1150,251,1
Intel Celeron D 356 @ 3.33GHz,251,1
Intel Pentium 4 3.06GHz,249,1
AMD Sempron 2800+,243,1
Intel Pentium 4 2.80GHz,236,1
Intel Celeron 420 @ 1.60GHz,235,1
AMD Sempron 3500+,232,1
Mobile Intel Pentium 4 3.20GHz,232,1
Intel Celeron D 347 @ 3.06GHz,232,1
Intel Atom D425 @ 1.80GHz,222,1
Mobile Intel Pentium 4 3.06GHz,220,1
Intel Pentium 4 2.60GHz,215,1
Intel Atom 230 @ 1.60GHz,210,1
Intel Celeron 220 @ 1.20GHz,209,1
Mobile Intel Pentium 4 2.80GHz,205,1
AMD Athlon XP 1800+,195,1
AMD Athlon XP 2000+,195,1
Intel Pentium III 1400S @ 1400MHz,194,1
Intel Pentium III 1400 @ 1400MHz,193,1
Intel Celeron 2.80GHz,190,1
Mobile Intel Pentium 4 2.66GHz,182,1
Intel Atom D410 @ 1.66GHz,177,1
AMD Athlon XP 1700+,176,1
Intel Pentium 4 2.53GHz,162,1
Intel Pentium 4 2.50GHz,160,1
Intel Atom E3815 @ 1.46GHz,159,1
Intel Pentium 4 2.20GHz,157,1
Intel Pentium 4 2.66GHz,157,1
Intel Pentium 4 2.26GHz,151,1
VIA C7-D 1800MHz,150,1
Intel Pentium 4 2.00GHz,133,1
Intel Pentium 4 2.40GHz,131,1
Intel Celeron 2.00GHz,125,1
Intel Pentium 4 1.80GHz,115,1
Intel Pentium 4 1800MHz,114,1
Intel Pentium 4 1.90GHz,104,1
Intel Pentium 4 1700MHz,100,1
Intel Celeron 1.80GHz,96,1
Intel Pentium 4 1.50GHz,86,1
Intel Pentium 4 1.70GHz,86,1
Intel Pentium 4 1.60GHz,84,1
Intel Pentium 4 1400MHz,83,1
Intel Pentium 4 1500MHz,81,1
Intel Pentium 4 1300MHz,77,1
